,City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
26,east london,-33.02,27.91,69.40400000000005,34.0,0.0,2.49,ZA,06/23/2020
27,havoysund,71.0,24.66,51.8,87.0,61.0,2.6,NO,06/23/2020
28,odweyne,9.41,45.06,80.54600000000005,49.0,33.0,6.5,SO,06/23/2020
29,vaini,-21.2,-175.2,68.0,100.0,20.0,1.5,TO,06/23/2020
31,port elizabeth,-33.92,25.57,53.6,71.0,0.0,1.5,ZA,06/23/2020
32,belyy yar,53.6,91.39,55.4,93.0,0.0,0.87,RU,06/23/2020
33,fairbanks,64.84,-147.72,50.0,93.0,90.0,2.1,US,06/23/2020
34,mataura,-46.19,168.86,39.00200000000008,83.0,35.0,1.34,NZ,06/23/2020
35,kitui,-1.37,38.01,66.88399999999999,80.0,95.0,4.31,KE,06/23/2020
36,avarua,-21.21,-159.78,73.4,88.0,89.0,2.1,CK,06/23/2020
38,hermanus,-34.42,19.23,51.008,93.0,4.0,0.45,ZA,06/23/2020
39,pudozh,61.81,36.53,54.788000000000046,59.0,0.0,2.7,RU,06/23/2020
40,hobart,-42.88,147.33,53.00600000000003,93.0,90.0,3.6,AU,06/23/2020
41,college,64.86,-147.8,50.0,93.0,90.0,2.1,US,06/23/2020
42,kruisfontein,-34.0,24.73,53.36600000000001,69.0,0.0,2.08,ZA,06/23/2020
43,arraial do cabo,-22.97,-42.03,80.6,42.0,75.0,7.2,BR,06/23/2020
44,esperance,-33.87,121.9,51.8,87.0,0.0,5.7,AU,06/23/2020
45,hasaki,35.73,140.83,68.0,100.0,75.0,2.6,JP,06/23/2020
46,mitsamiouli,-11.38,43.28,79.17800000000007,75.0,0.0,4.78,KM,06/23/2020
47,wagga wagga,-35.12,147.37,44.99600000000005,100.0,90.0,4.1,AU,06/23/2020
48,busselton,-33.65,115.33,53.00600000000003,77.0,11.0,5.91,AU,06/23/2020
49,albany,42.6,-73.97,91.99400000000007,60.0,11.0,0.45,US,06/23/2020
50,ilulissat,69.22,-51.1,39.2,80.0,75.0,2.6,GL,06/23/2020
51,port hedland,-20.32,118.57,59.0,67.0,0.0,2.6,AU,06/23/2020
52,kapaa,22.08,-159.32,78.99800000000002,83.0,90.0,5.7,US,06/23/2020
53,punta arenas,-53.15,-70.92,41.0,56.0,0.0,8.7,CL,06/23/2020
54,tasiilaq,65.61,-37.64,39.88399999999999,84.0,100.0,0.57,GL,06/23/2020
55,kodiak,57.79,-152.41,50.0,87.0,90.0,3.6,US,06/23/2020
56,pevek,69.7,170.31,31.891999999999996,98.0,100.0,4.43,RU,06/23/2020
57,mocuba,-16.84,36.99,66.2,97.0,83.0,1.56,MZ,06/23/2020
58,nikolskoye,59.7,30.79,71.99600000000005,49.0,0.0,4.0,RU,06/23/2020
59,dwarka,22.24,68.97,86.39600000000004,80.0,100.0,4.94,IN,06/23/2020
60,smithers,54.78,-127.17,57.2,62.0,40.0,1.87,CA,06/23/2020
61,whyalla,-33.03,137.58,46.4,93.0,23.0,2.6,AU,06/23/2020
62,roald,62.58,6.13,60.008,93.0,75.0,1.0,NO,06/23/2020
63,puerto baquerizo moreno,-0.9,-89.6,77.0,73.0,75.0,5.1,EC,06/23/2020
64,sao joao da barra,-21.64,-41.05,80.6,39.0,100.0,6.2,BR,06/23/2020
65,souillac,-20.52,57.52,71.6,83.0,75.0,3.6,MU,06/23/2020
66,castro,-24.79,-50.01,68.684,65.0,0.0,3.09,BR,06/23/2020
67,kyra,49.58,111.98,54.42800000000007,91.0,100.0,1.88,RU,06/23/2020
68,bredasdorp,-34.53,20.04,51.8,93.0,30.0,1.47,ZA,06/23/2020
69,ushuaia,-54.8,-68.3,33.8,91.0,75.0,4.1,AR,06/23/2020
70,tuatapere,-46.13,167.68,39.00200000000008,83.0,8.0,1.34,NZ,06/23/2020
71,iqaluit,63.75,-68.51,41.0,86.0,90.0,6.2,CA,06/23/2020
72,esna,25.29,32.55,91.292,14.0,0.0,2.37,EG,06/23/2020
73,changji,44.02,87.32,73.4,28.0,100.0,1.0,CN,06/23/2020
74,atuona,-9.8,-139.03,79.41200000000006,72.0,4.0,7.42,PF,06/23/2020
75,leshukonskoye,64.9,45.76,40.478000000000065,70.0,100.0,3.63,RU,06/23/2020
76,pathein,16.78,94.73,81.01400000000004,87.0,100.0,1.63,MM,06/23/2020
79,port blair,11.67,92.75,82.31000000000009,81.0,100.0,3.76,IN,06/23/2020
81,nanortalik,60.14,-45.24,42.15200000000008,79.0,100.0,3.38,GL,06/23/2020
82,shenzhen,22.55,114.07,86.0,87.0,100.0,0.45,CN,06/23/2020
83,olinda,-8.01,-34.86,80.6,47.0,12.0,6.2,BR,06/23/2020
84,kipini,-2.53,40.53,77.73800000000004,85.0,100.0,10.17,KE,06/23/2020
85,port lincoln,-34.73,135.87,50.05400000000005,73.0,0.0,2.82,AU,06/23/2020
86,gopalpur,19.27,84.92,84.61400000000003,78.0,9.0,5.66,IN,06/23/2020
87,aswan,24.09,32.91,96.76400000000004,11.0,0.0,6.95,EG,06/23/2020
88,tiksi,71.69,128.87,52.34000000000002,68.0,30.0,2.09,RU,06/23/2020
89,cherskiy,68.75,161.3,45.338000000000044,58.0,61.0,3.68,RU,06/23/2020
90,los llanos de aridane,28.66,-17.92,73.4,78.0,75.0,7.2,ES,06/23/2020
92,veracruz,19.33,-96.67,89.00600000000003,74.0,40.0,2.6,MX,06/23/2020
93,lompoc,34.64,-120.46,69.00800000000001,68.0,100.0,2.1,US,06/23/2020
94,qiongshan,20.01,110.35,82.4,88.0,100.0,2.0,CN,06/23/2020
96,kemi,65.86,24.82,66.2,82.0,0.0,3.1,FI,06/23/2020
97,cape town,-33.93,18.42,57.2,87.0,0.0,3.6,ZA,06/23/2020
99,tilichiki,60.47,166.1,58.17200000000004,72.0,1.0,2.26,RU,06/23/2020
100,roma,43.21,-75.46,87.99800000000002,45.0,40.0,6.7,US,06/23/2020
101,alofi,-19.06,-169.92,66.2,100.0,28.0,0.5,NU,06/23/2020
103,sakakah,29.97,40.21,87.8,5.0,0.0,2.6,SA,06/23/2020
105,kaitangata,-46.28,169.85,46.99400000000007,88.0,35.0,1.45,NZ,06/23/2020
106,shubarshi,48.59,57.19,68.46800000000009,30.0,0.0,4.69,KZ,06/23/2020
107,mar del plata,-38.0,-57.56,59.0,69.0,100.0,3.13,AR,06/23/2020
108,raton,36.9,-104.44,80.00600000000003,33.0,1.0,5.1,US,06/23/2020
109,norman wells,65.28,-126.83,51.8,93.0,90.0,4.6,CA,06/23/2020
110,belmonte,-15.86,-38.88,77.0,50.0,20.0,2.6,BR,06/23/2020
111,gargzdai,55.71,21.4,62.6,93.0,100.0,1.5,LT,06/23/2020
112,san quintin,30.48,-115.95,70.53800000000004,69.0,30.0,6.23,MX,06/23/2020
113,sao paulo de olivenca,-3.38,-68.87,84.81200000000005,73.0,8.0,0.55,BR,06/23/2020
114,tessalit,20.2,1.01,99.68000000000004,8.0,0.0,3.68,ML,06/23/2020
115,cairns,-16.92,145.77,69.8,60.0,4.0,4.6,AU,06/23/2020
116,qaanaaq,77.48,-69.36,38.408,83.0,0.0,0.5,GL,06/23/2020
117,lasa,46.62,10.7,68.0,45.0,5.0,2.6,IT,06/23/2020
119,marfino,55.7,37.38,68.0,68.0,0.0,2.0,RU,06/23/2020
120,half moon bay,37.46,-122.43,78.99800000000002,77.0,20.0,2.6,US,06/23/2020
121,koidu,8.42,-10.83,76.56800000000008,88.0,60.0,1.28,SL,06/23/2020
122,caravelas,-17.71,-39.25,75.434,51.0,0.0,2.16,BR,06/23/2020
123,kargasok,59.06,80.86,53.13200000000002,91.0,99.0,2.36,RU,06/23/2020
124,mahebourg,-20.41,57.7,71.6,83.0,75.0,3.6,MU,06/23/2020
125,mitu,1.2,-70.17,79.89800000000002,90.0,71.0,0.87,CO,06/23/2020
126,miedzyrzec podlaski,51.99,22.78,61.141999999999996,95.0,100.0,3.65,PL,06/23/2020
127,shingu,33.73,135.98,66.434,84.0,11.0,2.04,JP,06/23/2020
128,khatanga,71.97,102.5,66.75800000000001,68.0,70.0,3.54,RU,06/23/2020
130,aklavik,68.22,-135.01,42.8,87.0,90.0,4.6,CA,06/23/2020
131,anadyr,64.75,177.48,50.0,87.0,40.0,4.0,RU,06/23/2020
132,nangomba,-10.9,38.5,71.54600000000005,65.0,62.0,1.29,TZ,06/23/2020
133,puerto ayora,-0.74,-90.35,77.0,69.0,40.0,8.2,EC,06/23/2020
134,praya,14.92,-23.51,84.2,54.0,0.0,10.3,CV,06/23/2020
135,georgetown,5.41,100.34,82.4,94.0,20.0,1.5,MY,06/23/2020
136,sorland,67.67,12.69,57.2,87.0,100.0,3.1,NO,06/23/2020
137,moosomin,50.13,-101.67,70.73600000000008,52.0,85.0,2.82,CA,06/23/2020
138,saint-philippe,-21.36,55.77,69.8,77.0,2.0,3.6,RE,06/23/2020
140,olafsvik,64.89,-23.71,50.9,72.0,100.0,3.42,IS,06/23/2020
141,ulundi,-28.34,31.42,56.82200000000004,53.0,0.0,1.64,ZA,06/23/2020
142,lebu,-37.62,-73.65,50.09000000000002,77.0,100.0,3.54,CL,06/23/2020
143,constitucion,-35.33,-72.42,50.68399999999999,83.0,100.0,4.92,CL,06/23/2020
144,ikot ekpene,5.18,7.71,75.48800000000004,94.0,100.0,2.26,NG,06/23/2020
146,letterkenny,54.95,-7.73,55.4,93.0,90.0,3.6,IE,06/23/2020
147,luderitz,-26.65,15.16,64.4,45.0,0.0,0.5,NA,06/23/2020
148,dikson,73.51,80.55,37.562000000000054,83.0,58.0,5.76,RU,06/23/2020
149,matara,5.95,80.54,79.484,87.0,100.0,3.06,LK,06/23/2020
150,thompson,55.74,-97.86,78.8,31.0,40.0,3.6,CA,06/23/2020
151,bethel,41.37,-73.41,86.0,58.0,75.0,4.1,US,06/23/2020
152,westport,41.14,-73.36,86.0,69.0,1.0,3.6,US,06/23/2020
153,celestun,20.87,-90.4,91.4,54.0,100.0,3.15,MX,06/23/2020
154,komsomolskiy,40.43,71.72,82.4,28.0,20.0,1.0,UZ,06/23/2020
155,port alfred,-33.59,26.89,60.998000000000026,52.0,0.0,1.79,ZA,06/23/2020
156,oussouye,12.48,-16.55,86.0,79.0,40.0,2.1,SN,06/23/2020
157,kaabong,3.48,34.15,64.43600000000006,88.0,4.0,1.28,UG,06/23/2020
158,port-cartier,50.03,-66.87,73.4,60.0,75.0,4.6,CA,06/23/2020
159,cabo san lucas,22.89,-109.91,87.8,40.0,5.0,3.6,MX,06/23/2020
160,cidreira,-30.18,-50.21,72.46400000000003,67.0,0.0,3.61,BR,06/23/2020
161,butaritari,3.07,172.79,83.04800000000003,75.0,33.0,7.31,KI,06/23/2020
162,bambous virieux,-20.34,57.76,71.6,83.0,75.0,3.6,MU,06/23/2020
163,mogadishu,2.04,45.34,78.76400000000004,87.0,13.0,7.48,SO,06/23/2020
165,hefei,31.86,117.28,73.4,100.0,20.0,2.0,CN,06/23/2020
166,road town,18.42,-64.62,87.8,70.0,40.0,4.6,VG,06/23/2020
167,nizhniy odes,63.64,54.86,41.75600000000003,66.0,100.0,3.3,RU,06/23/2020
168,xuddur,4.12,43.89,79.26800000000009,60.0,23.0,5.79,SO,06/23/2020
169,naze,28.37,129.48,77.0,94.0,75.0,2.6,JP,06/23/2020
170,nabire,-3.37,135.48,75.34400000000008,87.0,2.0,1.51,ID,06/23/2020
171,tautira,-17.73,-149.15,78.8,61.0,40.0,0.5,PF,06/23/2020
172,marienburg,54.04,19.03,64.99400000000007,72.0,20.0,3.6,PL,06/23/2020
173,macau,22.2,113.55,86.0,89.0,20.0,5.1,MO,06/23/2020
174,dandong,40.13,124.39,66.25400000000005,75.0,100.0,2.68,CN,06/23/2020
175,manjacaze,-24.71,33.88,60.530000000000044,85.0,0.0,1.37,MZ,06/23/2020
176,yarmouth,41.71,-70.23,80.6,65.0,1.0,4.6,US,06/23/2020
178,tromso,69.65,18.96,59.0,72.0,20.0,0.5,NO,06/23/2020
180,robertson,36.52,-86.87,86.0,61.0,20.0,5.7,US,06/23/2020
181,jackson,42.42,-122.83,84.99199999999999,44.0,1.0,1.5,US,06/23/2020
182,noumea,-22.28,166.46,69.00800000000001,93.0,40.0,1.0,NC,06/23/2020
183,katsina,12.99,7.6,87.06200000000005,43.0,100.0,6.37,NG,06/23/2020
185,ialibu,-6.28,143.99,54.41000000000008,97.0,44.0,0.88,PG,06/23/2020
186,kavieng,-2.57,150.8,82.85,78.0,53.0,4.51,PG,06/23/2020
188,chanute,37.68,-95.46,82.4,34.0,1.0,4.6,US,06/23/2020
189,esmeraldas,-19.76,-44.31,75.2,38.0,100.0,4.6,BR,06/23/2020
190,kharp,66.8,65.81,46.45400000000005,72.0,89.0,0.99,RU,06/23/2020
191,hilo,19.73,-155.09,71.6,83.0,90.0,2.6,US,06/23/2020
192,chingirlau,51.09,54.08,59.522000000000034,62.0,99.0,3.55,KZ,06/23/2020
193,barrow,71.29,-156.79,33.8,80.0,90.0,3.6,US,06/23/2020
195,chokurdakh,70.63,147.92,65.44400000000007,34.0,6.0,2.61,RU,06/23/2020
196,brownwood,31.71,-98.99,77.0,69.0,20.0,3.1,US,06/23/2020
197,okato,-39.2,173.88,46.99400000000007,83.0,100.0,4.47,NZ,06/23/2020
198,vila franca do campo,37.72,-25.43,68.0,88.0,75.0,5.1,PT,06/23/2020
199,veraval,20.9,70.37,85.24400000000007,80.0,97.0,3.44,IN,06/23/2020
200,nemuro,43.32,145.57,50.97200000000004,95.0,99.0,6.29,JP,06/23/2020
201,at-bashi,41.17,75.81,53.61800000000009,68.0,100.0,0.78,KG,06/23/2020
202,bengkulu,-3.8,102.27,74.76800000000009,89.0,99.0,3.53,ID,06/23/2020
203,lisbon,38.72,-9.13,71.00600000000003,77.0,20.0,6.7,PT,06/23/2020
204,amapa,1.0,-52.0,80.09600000000005,90.0,100.0,1.42,BR,06/23/2020
205,sao filipe,14.9,-24.5,80.43800000000005,60.0,0.0,7.45,CV,06/23/2020
206,synya,65.37,58.04,38.89400000000008,82.0,68.0,1.49,RU,06/23/2020
207,ouro preto do oeste,-10.75,-62.22,86.43200000000002,59.0,11.0,1.51,BR,06/23/2020
210,kholodnyy,62.72,147.95,62.47400000000001,67.0,28.0,1.42,RU,06/23/2020
212,portadown,54.42,-6.44,64.00400000000005,88.0,75.0,4.6,GB,06/23/2020
213,labuhan,-6.88,112.21,77.01800000000009,84.0,0.0,2.36,ID,06/23/2020
214,ambon,-3.7,128.18,80.00600000000003,14.0,25.0,5.77,ID,06/23/2020
215,batagay-alyta,67.8,130.41,67.85600000000002,59.0,97.0,1.46,RU,06/23/2020
216,manaus,-3.1,-60.02,86.0,74.0,75.0,2.1,BR,06/23/2020
217,birjand,32.87,59.22,82.4,17.0,0.0,5.1,IR,06/23/2020
218,zhongxing,33.7,118.68,71.34800000000003,93.0,100.0,2.36,CN,06/23/2020
219,tabat,-2.63,115.23,71.83399999999999,95.0,58.0,0.72,ID,06/23/2020
220,san patricio,19.22,-104.7,89.6,75.0,20.0,5.1,MX,06/23/2020
221,corsico,45.43,9.12,87.8,40.0,0.0,1.5,IT,06/23/2020
222,yar-sale,66.83,70.83,44.24000000000002,71.0,48.0,3.23,RU,06/23/2020
223,stornoway,58.21,-6.39,59.0,71.0,100.0,4.6,GB,06/23/2020
224,vardo,70.37,31.11,42.8,75.0,75.0,5.1,NO,06/23/2020
225,senanga,-16.12,23.27,60.15200000000008,33.0,0.0,2.91,ZM,06/23/2020
226,calvinia,-31.47,19.78,59.63000000000004,33.0,0.0,3.87,ZA,06/23/2020
227,thinadhoo,0.53,72.93,84.00200000000008,77.0,100.0,4.85,MV,06/23/2020
228,carnarvon,-24.87,113.63,57.2,100.0,0.0,3.6,AU,06/23/2020
229,torbay,47.67,-52.73,80.00600000000003,65.0,20.0,10.3,CA,06/23/2020
231,nur,52.67,22.32,62.07800000000007,93.0,100.0,3.63,PL,06/23/2020
232,ponta do sol,32.67,-17.1,71.6,68.0,40.0,3.1,PT,06/23/2020
233,vostok,46.49,135.88,52.556000000000026,100.0,100.0,2.01,RU,06/23/2020
234,the pas,53.83,-101.25,78.8,27.0,1.0,2.1,CA,06/23/2020
235,hualmay,-11.1,-77.61,67.49600000000005,68.0,14.0,5.12,PE,06/23/2020
236,solwezi,-12.17,26.39,56.228000000000065,47.0,0.0,1.58,ZM,06/23/2020
238,severo-kurilsk,50.68,156.12,45.806000000000026,86.0,38.0,4.76,RU,06/23/2020
239,mount isa,-20.73,139.5,46.4,49.0,0.0,3.6,AU,06/23/2020
240,huambo,-12.78,15.74,55.32800000000007,40.0,0.0,1.81,AO,06/23/2020
241,salalah,17.02,54.09,82.4,94.0,20.0,2.6,OM,06/23/2020
242,ancud,-41.87,-73.82,46.004000000000055,93.0,75.0,3.1,CL,06/23/2020
243,djibo,14.1,-1.63,102.75800000000001,14.0,83.0,4.61,BF,06/23/2020
244,codrington,-38.27,141.97,50.25200000000008,92.0,0.0,1.64,AU,06/23/2020
245,dafeng,23.45,108.59,78.92600000000009,88.0,100.0,1.91,CN,06/23/2020
246,nome,64.5,-165.41,48.2,49.0,1.0,4.6,US,06/23/2020
247,talara,-4.58,-81.27,77.0,65.0,1.0,5.7,PE,06/23/2020
249,ponta delgada,37.73,-25.67,68.0,88.0,75.0,5.1,PT,06/23/2020
250,bundaberg,-24.85,152.35,50.0,61.0,0.0,3.1,AU,06/23/2020
251,zalesovo,53.99,84.74,58.13600000000007,90.0,100.0,1.07,RU,06/23/2020
252,nioki,-2.72,17.68,77.88200000000002,42.0,4.0,0.83,CD,06/23/2020
254,la ronge,55.1,-105.28,77.0,41.0,40.0,4.1,CA,06/23/2020
255,hrubieszow,50.8,23.89,61.610000000000085,97.0,100.0,4.21,PL,06/23/2020
256,sheridan,44.83,-106.92,80.6,28.0,1.0,1.5,US,06/23/2020
257,ribeira grande,38.52,-28.7,66.2,63.0,40.0,8.2,PT,06/23/2020
258,dingle,11.0,122.67,78.31400000000004,82.0,100.0,1.55,PH,06/23/2020
259,kenai,60.55,-151.26,57.992,76.0,40.0,4.1,US,06/23/2020
261,singaraja,-8.11,115.09,77.21600000000001,70.0,92.0,1.78,ID,06/23/2020
262,taltal,-25.4,-70.48,62.11400000000003,65.0,100.0,2.29,CL,06/23/2020
263,asau,46.43,26.4,62.99600000000005,90.0,89.0,1.42,RO,06/23/2020
264,san cristobal,7.77,-72.22,91.4,41.0,40.0,11.8,VE,06/23/2020
265,manavalakurichi,8.13,77.3,84.2,79.0,40.0,1.5,IN,06/23/2020
266,kamenka,51.32,42.77,69.00800000000001,47.0,16.0,0.89,RU,06/23/2020
267,scarborough,54.28,-0.4,73.99400000000007,62.0,0.0,0.89,GB,06/23/2020
268,dharangaon,21.02,75.27,84.56000000000009,67.0,88.0,3.44,IN,06/23/2020
270,barinas,8.62,-70.21,87.566,63.0,8.0,3.83,VE,06/23/2020
271,deputatskiy,69.3,139.9,68.30600000000003,62.0,0.0,1.37,RU,06/23/2020
272,turukhansk,65.82,87.98,52.66400000000003,72.0,100.0,2.92,RU,06/23/2020
273,palaia fokaia,37.72,23.95,75.00200000000008,78.0,20.0,3.1,GR,06/23/2020
274,ahipara,-35.17,173.17,59.25200000000008,89.0,100.0,5.73,NZ,06/23/2020
275,yiyang,28.59,112.33,72.266,96.0,75.0,0.81,CN,06/23/2020
276,krasnoselkup,65.7,82.47,51.188000000000045,64.0,0.0,2.84,RU,06/23/2020
277,stokmarknes,68.56,14.91,64.4,63.0,99.0,1.5,NO,06/23/2020
278,kamiiso,41.82,140.65,58.40600000000003,84.0,75.0,1.23,JP,06/23/2020
279,berdigestyakh,62.1,126.7,54.42800000000007,68.0,96.0,1.42,RU,06/23/2020
280,mikhaylovsk,45.13,42.03,71.6,64.0,0.0,2.0,RU,06/23/2020
281,ossora,59.24,163.07,59.522000000000034,58.0,100.0,0.83,RU,06/23/2020
282,hamilton,39.18,-84.53,80.00600000000003,61.0,75.0,3.6,US,06/23/2020
283,malanje,-9.54,16.34,63.248000000000026,30.0,0.0,1.33,AO,06/23/2020
284,vila velha,-20.33,-40.29,78.8,50.0,100.0,4.1,BR,06/23/2020
285,husavik,66.04,-17.34,57.2,58.0,75.0,5.7,IS,06/23/2020
286,kardla,59.0,22.75,68.0,53.0,89.0,1.34,EE,06/23/2020
287,varkkallai,8.73,76.71,84.2,79.0,40.0,1.5,IN,06/23/2020
288,katobu,-4.94,122.53,72.28399999999999,90.0,0.0,1.75,ID,06/23/2020
290,ayan,56.45,138.17,43.628000000000064,93.0,100.0,2.15,RU,06/23/2020
291,rantauprapat,2.1,99.83,74.55200000000008,94.0,100.0,1.19,ID,06/23/2020
292,bilma,18.69,12.92,93.84800000000003,10.0,0.0,3.03,NE,06/23/2020
293,ponta pora,-22.54,-55.73,84.2,32.0,0.0,5.1,BR,06/23/2020
294,geraldton,-28.77,114.6,60.8,72.0,90.0,4.6,AU,06/23/2020
295,jacmel,18.23,-72.53,91.4,63.0,20.0,5.7,HT,06/23/2020
296,itiuba,-10.69,-39.85,75.47000000000006,67.0,95.0,3.61,BR,06/23/2020
297,torrevieja,37.98,-0.68,78.00800000000001,66.0,0.0,2.24,ES,06/23/2020
298,yilan,24.76,121.75,84.2,79.0,20.0,0.5,TW,06/23/2020
299,qaqortoq,60.72,-46.03,64.4,42.0,40.0,5.1,GL,06/23/2020
300,tazovskiy,67.47,78.7,46.4,72.0,100.0,3.56,RU,06/23/2020
301,vestmannaeyjar,63.44,-20.27,51.8,87.0,75.0,9.3,IS,06/23/2020
302,broome,42.25,-75.83,84.00200000000008,65.0,75.0,4.1,US,06/23/2020
303,bull savanna,17.89,-77.59,87.85400000000006,54.0,0.0,9.16,JM,06/23/2020
304,alyangula,-13.85,136.42,68.0,77.0,0.0,2.1,AU,06/23/2020
305,ahuimanu,21.44,-157.84,78.8,65.0,75.0,4.6,US,06/23/2020
306,buala,-8.14,159.59,80.56400000000004,74.0,55.0,2.58,SB,06/23/2020
307,northfield,44.46,-93.16,73.4,53.0,75.0,4.6,US,06/23/2020
308,biltine,14.53,20.92,89.18600000000006,12.0,0.0,1.96,TD,06/23/2020
309,takoradi,4.88,-1.76,78.00800000000001,86.0,65.0,3.98,GH,06/23/2020
310,pacific grove,36.62,-121.92,69.99800000000002,72.0,20.0,3.1,US,06/23/2020
311,nacajuca,18.13,-93.02,89.6,79.0,90.0,3.1,MX,06/23/2020
312,jalu,29.03,21.55,81.71600000000001,33.0,0.0,7.81,LY,06/23/2020
313,tias,28.96,-13.64,73.4,69.0,40.0,8.2,ES,06/23/2020
314,flin flon,54.77,-101.86,78.8,31.0,20.0,3.6,CA,06/23/2020
315,tigil,57.8,158.67,50.97200000000004,75.0,0.0,1.85,RU,06/23/2020
316,sterling,39.01,-77.43,87.99800000000002,62.0,75.0,3.1,US,06/23/2020
317,nurobod,40.91,69.8,89.6,11.0,93.0,4.1,UZ,06/23/2020
318,pogar,52.55,33.26,60.78200000000002,94.0,80.0,3.31,RU,06/23/2020
319,omboue,-1.57,9.26,73.11200000000005,86.0,99.0,3.71,GA,06/23/2020
320,bonthe,7.53,-12.51,78.8,86.0,86.0,2.72,SL,06/23/2020
321,upernavik,72.79,-56.15,35.492,86.0,71.0,4.99,GL,06/23/2020
322,te anau,-45.42,167.72,40.11800000000009,89.0,74.0,0.47,NZ,06/23/2020
323,haines junction,60.75,-137.51,51.27800000000006,48.0,85.0,3.71,CA,06/23/2020
324,hammerfest,70.66,23.68,51.8,81.0,75.0,3.1,NO,06/23/2020
325,kalabo,-14.97,22.68,58.38800000000005,36.0,0.0,2.07,ZM,06/23/2020
326,eenhana,-17.47,16.33,66.2,32.0,0.0,1.0,NA,06/23/2020
327,basoko,1.24,23.62,76.19000000000003,82.0,95.0,0.99,CD,06/23/2020
328,davila,18.47,120.58,80.6,88.0,75.0,0.74,PH,06/23/2020
329,pyaozerskiy,65.83,31.17,56.89400000000008,52.0,19.0,1.66,RU,06/23/2020
330,sitka,57.05,-135.33,53.6,81.0,75.0,1.5,US,06/23/2020
332,longyearbyen,78.22,15.64,48.2,70.0,94.0,2.1,SJ,06/23/2020
333,yerbogachen,61.28,108.01,54.194000000000074,76.0,26.0,2.46,RU,06/23/2020
334,along,28.17,94.77,74.82200000000003,88.0,100.0,0.55,IN,06/23/2020
335,babstovo,48.12,132.48,52.91600000000001,97.0,100.0,5.23,RU,06/23/2020
336,ustye,59.63,39.74,57.74000000000002,87.0,0.0,1.94,RU,06/23/2020
337,lazaro cardenas,17.96,-102.2,89.99600000000005,53.0,100.0,3.03,MX,06/23/2020
338,zainsk,55.32,52.07,59.0,58.0,100.0,5.0,RU,06/23/2020
339,faya,18.39,42.45,78.8,13.0,100.0,3.1,SA,06/23/2020
340,portobelo,9.55,-79.65,87.99800000000002,74.0,100.0,3.13,PA,06/23/2020
341,flinders,-34.58,150.86,53.00600000000003,68.0,0.0,4.92,AU,06/23/2020
342,mbandaka,0.05,18.26,76.85600000000002,73.0,76.0,1.21,CD,06/23/2020
343,katsuura,35.13,140.3,71.6,94.0,75.0,2.6,JP,06/23/2020
344,ketchikan,55.34,-131.65,55.4,87.0,90.0,5.1,US,06/23/2020
345,new norfolk,-42.78,147.06,53.00600000000003,90.0,100.0,0.45,AU,06/23/2020
346,kununurra,-15.77,128.73,60.8,35.0,0.0,2.1,AU,06/23/2020
347,hay river,60.82,-115.8,75.2,33.0,75.0,4.6,CA,06/23/2020
